Flaschen ID,y_hat
368,40.2440593331531
369,37.74334603304186
370,37.63098447641802
371,18.830659006887867
372,17.617373170488047
373,18.333839720109022
374,17.776797830630766
375,16.818374703458165
376,16.348128119908704
377,16.410833468204782
378,16.054210460798505
379,15.209569543602417
380,15.454257163620131
381,14.499857335402073
382,14.270086956328353
383,14.170727267636376
384,12.6386642251239
385,11.784553982209442
386,12.422540404131485
387,10.70372855798703
388,11.447039457118247
389,10.976087017181005
390,8.12461001594506
391,9.932347007268678
392,8.412710459829572
393,8.53291612129426
394,8.286073057140083
395,7.346225906330112
396,25.77914366729288
397,25.452404711034934
398,25.36157894690103
399,24.89574949637831
400,24.796980609145262
401,23.8252205465157
402,23.40285053487334
403,22.241620635249827
404,21.42495706622989
405,22.286390623003708
406,21.375291201329805
407,22.11530073888206
408,19.786889718550523
409,19.45498272976131
410,18.965724300171697
411,20.610090635639107
412,17.1061712561734
413,18.118236534641223
414,16.420383108027377
415,16.331595973762415
416,16.74146791721733
417,0.0
418,0.0
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,39.65505211498473
440,38.90701328887576
441,37.67397808523077
469,26.43508707565675
470,25.65346916581124
471,24.544441695972385
472,22.414998135722865
473,24.46144821923802
474,23.27281623100185
475,24.052218783758487
476,21.71724177700366
477,21.56614798608852
478,21.66925107721644
479,21.298325286536784
480,20.13192846796215
481,20.433716621553298
482,19.069512510188513
483,18.884605786449367
484,17.911252929821654
485,17.552943435476532
486,16.251594249526814
487,16.907042639716163
488,15.792434618483814
489,0.0
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.0
519,0.0
520,0.0
521,4.446088198041156
522,21.269047018468324
523,20.598792012503562
524,18.800650721547893
525,20.1320379952011
526,19.756012505820284
527,18.16832883005389
528,17.380404580837617
529,17.08149002141644
530,16.84411418101953
531,16.727565819746783
532,15.720920783230067
533,16.54184251026665
534,15.26704119483571
535,15.310822039147464
536,14.437701137095036
537,14.727832621868554
538,13.282579151504368
539,12.35449723973316
540,13.344498686926944
541,11.890011733233816
542,11.25382636305348
543,11.803655675829166
544,10.198017423312919
545,9.65233860934104
546,9.2970738559173
547,9.459656943145763
548,8.88510926831032
549,9.014447898754991
550,6.936067856777807
551,26.444567924500728
552,25.35906863589251
553,24.929658249263635
554,24.48049315763131
555,24.111358497237358
556,24.264700125186334
557,23.453467007662606
558,23.728038072428713
559,23.175615794193252
560,22.03149308979498
561,21.341251723524575
562,20.98271099754636
563,21.37811821615973
564,20.78014480649554
565,19.619788782545537
566,19.21588868908081
567,18.726565872658224
568,18.89288580512999
569,17.458702185652573
570,16.57338531909394
571,16.977685495145476
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.0
593,0.0
594,39.91415642503517
595,39.668800904755955
596,40.41679757628117
597,37.712837301495554
598,38.58011561134295
599,18.81682988587934
600,17.58491394379723
601,18.398115004073492
602,16.801269640954747
603,17.822549401573784
604,15.315913122946508
605,15.749805466962233
606,15.607579409303565
607,15.285265144944493
608,14.279090145931196
609,13.865886359398512
610,14.01545827204463
611,13.0502472516803
612,11.909814889389036
613,11.649512892451849
614,11.59149659073837
615,11.849837574187145
616,10.596914257053356
617,9.91651639122615
618,9.704989715741949
619,8.751051932535827
620,7.8262455522408665
621,9.341779016445738
622,7.879579325601252
623,8.331002357930327
624,25.567941921219653
625,24.7299333326071
626,24.16825841256092
627,23.556618647512668
628,23.777399540377903
629,23.093097043908212
630,22.73703348692474
631,22.08075357028738
632,21.642290687345902
633,20.182328172741006
634,20.06718539215137
635,20.01475140726063
636,19.938119259436444
637,20.284033678803286
638,18.373882269029604
639,19.145107528368353
640,17.892233938533675
641,16.548740877402363
